____ A B C D E F G H I J K L M N O P Q R S T
__ + — — — — — — — — — — — — — — — — — — —
1_ | X K 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2_ | * 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
3_ | * 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4_ | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5_ | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
6_ | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
7_ | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
8_ | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
9_ | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
10 | 0 0 0 0 0 0 0 0 0 0 0 0 0 * 0 0 0 0 0
11 | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
12 | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
13 | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
14 | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
15 | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
16 | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
17 | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
18 | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
19 | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20 | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
__ + — — — — — — — — — — — — — — — — — — —
